1.0;60.0;7775880.0
2.0;60.0;7775880.0
3.0;60.0;7775880.0
4.0;60.0;7775880.0
5.0;60.0;7775880.0
6.0;60.0;7691520.0
7.000000000000001;128.39529675251737;7291020.0
8.0;613.388613950787;6788940.0
9.0;1660.0792952512752;6390300.0
10.0;3144.6860064802863;6114360.0
11.0;4856.042331855381;5932620.0
12.0;6564.3318562735;5760300.0
13.0;8169.085796736036;5577660.0
14.000000000000002;9658.88762848065;5396220.0
15.0;11025.384463190241;5204340.0
16.0;12325.602004080185;5019600.0
17.0;13547.174262160137;4833240.0
18.0;14743.142311963462;4649340.0
19.0;15937.801981774235;4469340.0
20.0;17130.167568712564;4290120.0
21.0;18319.092493257616;4110780.0
22.0;19511.116130068483;3936360.0
23.0;20718.72645159629;3761160.0
24.0;21925.705283584233;3582180.0
25.0;23136.656845050187;3398580.0
26.0;24355.15882357023;3222240.0
27.0;25588.61311906026;3041040.0
28.000000000000004;26890.123258972788;2863320.0
28.999999999999996;28172.307214007862;2681100.0
30.0;29592.752911312615;2497080.0
31.0;30920.211486506174;2318400.0
32.0;32274.918354361955;2137860.0
33.0;33767.753119851746;1960020.0
34.0;35172.15808070891;1783980.0
35.0;36591.01035179488;1594680.0
36.0;38086.21584663775;1415160.0
37.0;39417.479071525195;1265640.0
38.0;40780.37491348197;1127070.0
39.0;41860.86931724959;1010370.0
40.0;43054.23021178115;893190.0
41.0;44110.778861825245;774390.0
42.0;45035.65394632439;670410.0
43.0;45565.42345655449;614310.0
44.0;46084.71068568335;558450.0
45.0;46595.71368723211;508590.0
46.0;46951.044543231976;468810.0
47.0;47348.82168308071;427950.0
48.0;47717.16506927334;386490.0
49.0;48124.590433231366;350550.0
50.0;48547.49888533731;309810.0
51.0;48995.32685199519;273510.0
52.0;49386.79136035332;235050.0
53.0;49803.40750528352;196230.0
54.0;50254.37363937181;155670.0
55.00000000000001;50732.07342574335;118830.0
56.00000000000001;51245.18689647759;81870.0
57.00000000000001;51707.35455309996;42990.0
57.99999999999999;52011.4356901278;23010.0
59.0;52011.84664903192;23010.0
60.0;52011.84664903192;23010.0
61.0;52012.26918424319;22710.0
62.0;52012.691719454466;22710.0
63.0;52013.114254665736;22710.0
64.0;52013.114254665736;22710.0
65.0;52013.53678987701;22710.0
66.0;52013.95932508829;22710.0
67.0;52013.95932508829;22710.0
68.0;52014.400501558885;22710.0
69.0;52014.84167802948;22710.0
70.0;52014.84167802948;22710.0
71.0;52015.282854500074;22710.0
72.0;52015.282854500074;22410.0
73.0;52015.724030970676;22410.0
74.0;52015.724030970676;22410.0
75.0;52016.16520744127;22410.0
76.0;52016.16520744127;22410.0
77.0;52016.63395744128;22410.0
78.0;52016.63395744128;22410.0
79.0;52017.102707441285;22410.0
80.0;52017.102707441285;22410.0
81.0;52017.571457441285;22410.0
82.0;52017.571457441285;22410.0
83.0;52018.04020744129;22410.0
84.0;52018.04020744129;22410.0
85.0;52018.5089574413;22410.0
86.0;52018.5089574413;22410.0
87.0;52018.5089574413;22110.0
88.0;52019.01743201758;22110.0
89.0;52019.01743201758;22110.0
90.0;52019.52590659386;22110.0
91.0;52019.52590659386;22110.0
92.0;52019.52590659386;22110.0
93.0;52020.03438117014;22110.0
94.0;52020.03438117014;22110.0
95.0;52020.54285574642;22110.0
96.0;52020.54285574642;22110.0
97.0;52020.54285574642;22110.0
98.0;52021.0513303227;22110.0
99.0;52021.0513303227;22110.0
100.0;52021.0513303227;22110.0
