1.0;60.0;7775880.0
2.0;60.0;7775880.0
3.0;60.0;7775880.0
4.0;60.0;7775880.0
5.0;60.0;7775880.0
6.0;60.0;7691520.0
7.000000000000001;60.0;7276980.0
8.0;60.0;6699780.0
9.0;60.0;6168480.0
10.0;60.0;5728200.0
11.0;60.0;5379420.0
12.0;60.0;5061360.0
13.0;60.0;4754700.0
14.000000000000002;60.0;4460700.0
15.0;60.0;4162740.0
16.0;60.0;3872400.0
17.0;60.0;3587760.0
18.0;60.0;3304560.0
19.0;60.0;3015900.0
20.0;222.01767816361325;2743500.0
21.0;720.2019820399579;2502180.0
22.0;1284.959533012882;2271720.0
23.0;2048.066323840487;2063640.0
24.0;2859.601974812628;1850460.0
25.0;3825.439464913588;1655640.0
26.0;5318.928819589584;1508370.0
27.0;7106.60232569363;1389690.0
28.000000000000004;9041.648769595551;1276890.0
28.999999999999996;11150.66401849356;1181910.0
30.0;13379.235029516445;1096050.0
31.0;15766.989347483908;1023330.0
32.0;18455.636352672398;979890.0
33.0;20793.58552414143;903450.0
34.0;23596.945811023113;868350.0
35.0;26551.75939919497;850950.0
36.0;29117.886806167964;794070.0
37.0;31730.52747196836;740010.0
38.0;34666.73085026328;713070.0
39.0;37588.183788054615;685050.0
40.0;40383.87582367893;646350.0
41.0;43408.95599515408;619890.0
42.0;46561.057231533385;604050.0
43.0;49760.50050590969;596370.0
44.0;53056.97128168028;616470.0
45.0;56207.342886361985;604110.0
46.0;59362.72134971815;588630.0
47.0;62499.52874556541;559590.0
48.0;65897.76143145053;557850.0
49.0;69291.66908031635;532590.0
50.0;72998.17462399647;507810.0
51.0;75100.67814556272;510930.0
52.0;78390.47550519602;485250.0
53.0;82302.07730634221;463830.0
54.0;85753.26624700075;448290.0
55.00000000000001;87985.36054061382;493170.0
56.00000000000001;91156.97434749934;480210.0
57.00000000000001;94792.23633795054;491370.0
57.99999999999999;98094.29359392356;442830.0
59.0;101422.28100310003;455070.0
60.0;104790.17042264146;439110.0
61.0;108347.84658223936;425130.0
62.0;111824.6291816346;414450.0
63.0;112711.90788135846;461430.0
64.0;115229.56612453579;484050.0
65.0;118278.69164664697;472710.0
66.0;121348.73972596302;461430.0
67.0;124440.23038408185;451230.0
68.0;127545.27818199623;442290.0
69.0;131577.50240233165;432870.0
70.0;135959.33921570537;425070.0
71.0;139262.40499248295;415050.0
72.0;142623.88877470625;405030.0
73.0;144544.7453708674;389250.0
74.0;147880.62057450658;377370.0
75.0;151550.43114722497;367530.0
76.0;154331.63979259285;357990.0
77.0;155730.61069212886;385710.0
78.0;158890.90971377742;377730.0
79.0;162022.14837407693;371310.0
80.0;165172.40021569966;365010.0
81.0;168351.6289192062;358830.0
82.0;171551.18010699257;351990.0
83.0;174783.53434995763;345210.0
84.0;178061.78395350958;338910.0
85.0;181371.89232386736;333210.0
86.0;184748.24769034056;327390.0
87.0;188151.1110888758;321210.0
88.0;191571.47963597678;316350.0
89.0;195055.92018097712;309810.0
90.0;198508.51380885954;306030.0
91.0;203862.46140980686;299970.0
92.0;207326.63967174405;295410.0
93.0;210701.60903117617;292230.0
94.0;213967.86191855336;289350.0
95.0;221797.68902145815;279510.0
96.0;225549.95051653925;273930.0
97.0;229019.96696447724;299250.0
98.0;233073.5741619388;293730.0
99.0;237339.96704383448;289050.0
100.0;237433.211500747;327090.0
